State,Vehicle Thefts
California,86768
Texas,25433
Washington,11008
Florida,9664
Georgia,6497
Colorado,5290
Arizona,5270
Illinois,5015
Michigan,4946
Oregon,4556
Ohio,4416
Missouri,4199
New York,4166
Nevada,3883
New Jersey,3847
Oklahoma,3757
Wisconsin,3430
Maryland,3338
Indiana,3131
Utah,3103
New Mexico,3074
North Carolina,3065
Pennsylvania,2900
Tennessee,2809
Louisiana,2794
South Carolina,2707
Minnesota,2697
Massachusetts,2158
Alabama,2154
Kansas,2030
Connecticut,1980
Virginia,1629
Arkansas,1464
Kentucky,1370
Mississippi,1320
Nebraska,1079
Iowa,1023
Hawaii,957
District Of Columbia,805
Montana,622
Alaska,547
Rhode Island,501
Idaho,458
North Dakota,436
West Virginia,355
Delaware,300
South Dakota,262
New Hampshire,162
Maine,148
Wyoming,134
Vermont,70
NA,NA
